TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,30.9,25,79,30.36,10,Calm,Calm,-,N/A,,Overcast,0,1/1/2014 5:51
1:51 AM,30.9,25,79,30.37,10,Calm,Calm,-,N/A,,Overcast,0,1/1/2014 6:51
2:51 AM,30.9,26.1,82,30.38,10,Calm,Calm,-,N/A,,Overcast,0,1/1/2014 7:51
3:51 AM,30,26.1,85,30.37,10,Calm,Calm,-,N/A,,Overcast,0,1/1/2014 8:51
4:51 AM,30,27,88,30.37,10,Calm,Calm,-,N/A,,Overcast,0,1/1/2014 9:51
5:51 AM,30.9,26.1,82,30.37,10,Calm,Calm,-,N/A,,Overcast,0,1/1/2014 10:51
6:51 AM,32,25,75,30.38,10,ESE,4.6,-,N/A,,Overcast,110,1/1/2014 11:51
7:51 AM,32,25,75,30.4,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,1/1/2014 12:51
8:51 AM,34,27,75,30.42,10,South,3.5,-,N/A,,Mostly Cloudy,170,1/1/2014 13:51
9:51 AM,39.9,24.1,53,30.44,10,Variable,3.5,-,N/A,,Mostly Cloudy,0,1/1/2014 14:51
10:51 AM,46,24.1,42,30.4,10,Variable,5.8,-,N/A,,Mostly Cloudy,0,1/1/2014 15:51
11:51 AM,46.9,21,36,30.37,10,ESE,3.5,-,N/A,,Mostly Cloudy,120,1/1/2014 16:51
12:51 PM,50,21.9,N/A,30.33,10,South,6.9,-,N/A,,Mostly Cloudy,180,1/1/2014 17:51
1:51 PM,50,21.9,N/A,30.31,10,SW,6.9,-,N/A,,Mostly Cloudy,220,1/1/2014 18:51
2:51 PM,50,21.9,N/A,30.3,10,SW,9.2,-,N/A,,Mostly Cloudy,220,1/1/2014 19:51
3:51 PM,48.9,23,36,30.28,10,SSW,4.6,-,N/A,,Mostly Cloudy,200,1/1/2014 20:51
4:51 PM,46.9,23,39,30.26,10,SSE,3.5,-,N/A,,Mostly Cloudy,150,1/1/2014 21:51
5:51 PM,45,25,46,30.26,10,South,4.6,-,N/A,,Mostly Cloudy,170,1/1/2014 22:51
6:51 PM,42.1,26.1,53,30.26,10,South,3.5,-,N/A,,Mostly Cloudy,190,1/1/2014 23:51
7:51 PM,41,27,57,30.25,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,1/2/2014 0:51
8:51 PM,42.1,26.1,53,30.22,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,1/2/2014 1:51
9:51 PM,39.9,27,60,30.19,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,1/2/2014 2:51
10:51 PM,39,27,62,30.18,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,1/2/2014 3:51
11:51 PM,37.9,28.9,70,30.16,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,1/2/2014 4:51
